Estado,Abreviacao,Regiao,Dengue2018,Dengue2019,Chi2018,Chi2019,Zica2018,Zica2019,Populacao
Acre,AC,N,1109,3675,44,75,5,83,869265
Tocantins,TO,N,491,9377,75,350,23,731,1555229
Minas Gerais,MG,SE,6586,54961,2854,716,40,146,21040662
Espirito Santo,ES,SE,1470,8838,94,186,30,92,3972388
São Paulo,SP,SE,3734,83045,160,869,76,229,45538936
Mato Grosso do Sul,MS,CO,999,10116,72,88,26,23,2748023
Distrito Federal,DF,CO,552,3467,15,54,4,12,2974703
Goiás,GO,CO,27180,24599,51,51,317,110,6921161
Rondônia,RO,N,198,115,23,18,9,10,1757589
Amazonas,AM,N,735,761,8,27,62,7,4080611
Roraima,RR,N,3,200,6,46,2,16,576568
Pará,PA,N,1280,1013,1720,1606,76,62,8513497
Amapá,AP,N,227,42,40,17,6,3,829494
Maranhão,MA,NE,543,749,212,125,36,27,7035055
Piauí,PI,NE,575,254,170,31,1,3,3264531
Ceará,CE,NE,1119,2034,567,494,30,28,9075649
Rio Grande do Norte,RN,NE,2248,1352,297,113,102,28,3479010
Paraíba,PB,NE,1034,963,173,158,38,24,3996496
Pernambuco,PE,NE,1824,3418,179,471,38,24,9496294
Mato Grosso,MT,CO,3538,2154,9968,100,301,31,3441998
Rio Grande do Sul,RS,S,55,149,11,25,1,12,11329605
Santa Catarina,SC,S,54,371,17,86,3,17,7075494
Paraná,PR,S,399,6084,66,77,3,18,11348937
Rio de Janeiro,RJ,SE,4624,2960,5885,6765,513,117,17159960
Bahia,BA,NE,1916,7305,741,309,175,136,14812617
Sergipe,SE,NE,29,125,7,19,1,5,2278308
Alagoas,AL,NE,382,937,32,66,23,41,3322820
